,fileName,Title,Artist,Album,Genre,Release Date,Length
32,music\01 MONTERO (Call Me By Your Name).mp3,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name) - Single,Pop,2021,2:17
33,music\01 Radioactive.mp3,Radioactive,Imagine Dragons,Night Visions,Alternative,2012,3:6
34,music\01 Señorita.mp3,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,2019,3:11
35,music\01 Silence (feat. Khalid).mp3,Silence (feat. Khalid),Marshmello,Silence (feat. Khalid) - Single,Dance,2017,3:0
36,music\01 Spirit (From Disney's _The Lion King_).mp3,"Spirit (From Disney's ""The Lion King"")",Beyoncé,"Spirit (From Disney's ""The Lion King"") - Single",Pop,2019,4:37
37,music\01 Starboy (feat. Daft Punk).mp3,Starboy (feat. Daft Punk),The Weeknd,Starboy,R&B/Soul,2016,3:50
38,music\01 Sucker.mp3,Sucker,Jonas Brothers,Happiness Begins,Pop,2019,3:1
39,music\01 SUN GOES DOWN.mp3,SUN GOES DOWN,Lil Nas X,SUN GOES DOWN - Single,Pop,2021,2:48
40,music\01 The Middle.mp3,The Middle,"Zedd, Maren Morris & Grey",The Middle - Single,Dance,2018,3:4
41,music\01 There's Nothing Holdin' Me Back.mp3,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),Pop,2016,3:19
42,music\01 Tiny Dancer.mp3,Tiny Dancer,Elton John,Madman Across the Water,Pop,1971,6:17
43,music\01 Umbrella (feat. JAY-Z).mp3,Umbrella (feat. JAY-Z),Rihanna,Good Girl Gone Bad,Pop,2007,4:36
44,music\01 What a Man Gotta Do.mp3,What a Man Gotta Do,Jonas Brothers,What a Man Gotta Do - Single,Pop,2020,3:0
45,music\01 Without Me.mp3,Without Me,Halsey,Without Me - Single,Alternative,2018,3:21
46,music\01 Wolves.mp3,Wolves,Selena Gomez & Marshmello,Wolves - Single,Pop,2017,3:18
47,music\01 Your Song.mp3,Your Song,Elton John,Elton John,Pop,1970,4:4
