expName,Version,subjectID,Session Number,Section,Start Time,End Time,Duration,Block Count,Trial Count,Image Displayed,Flanker,Direction,Correct Answer,Cell Number,User Response,Correct or Incorrect,User Response TimeStamp,User Response Time
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:29,04/01/22 10:02:29,0.473851,1,0,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:29,04/01/22 10:02:31,1.734845,,0,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:31,04/01/22 10:02:31,0.526309,1,0,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:31,04/01/22 10:02:32,0.369493,1,1,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:32,04/01/22 10:02:32,0.423061,1,1,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:32,04/01/22 10:02:34,1.735841,,1,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:34,04/01/22 10:02:34,0.524811,1,1,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:34,04/01/22 10:02:35,0.589604,1,2,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:35,04/01/22 10:02:35,0.406315,1,2,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:35,04/01/22 10:02:37,1.733948,,2,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:37,04/01/22 10:02:38,0.51255,1,2,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:38,04/01/22 10:02:38,0.417496,1,3,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:38,04/01/22 10:02:39,0.413904,1,3,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:39,04/01/22 10:02:40,1.728903,,3,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:40,04/01/22 10:02:41,0.508818,1,3,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:41,04/01/22 10:02:41,0.436263,1,4,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:41,04/01/22 10:02:42,0.42281,1,4,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:42,04/01/22 10:02:43,1.728036,,4,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:43,04/01/22 10:02:44,0.52787,1,4,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:44,04/01/22 10:02:44,0.418608,1,5,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:44,04/01/22 10:02:45,0.424962,1,5,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:45,04/01/22 10:02:46,1.740201,,5,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:46,04/01/22 10:02:47,0.522714,1,5,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:47,04/01/22 10:02:47,0.347649,1,6,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:47,04/01/22 10:02:48,0.417018,1,6,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:48,04/01/22 10:02:50,1.716959,,6,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:50,04/01/22 10:02:50,0.512571,1,6,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:50,04/01/22 10:02:50,0.387247,1,7,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:50,04/01/22 10:02:51,0.431185,1,7,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:51,04/01/22 10:02:53,1.735169,,7,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:53,04/01/22 10:02:53,0.525853,1,7,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:53,04/01/22 10:02:54,0.401039,1,8,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:02:54,04/01/22 10:02:54,0.425034,1,8,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:02:54,04/01/22 10:02:56,1.735918,,8,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:02:56,04/01/22 10:02:56,0.52487,1,8,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:02:56,04/01/22 10:02:57,0.522423,1,9,,,,,,,,,
