Trial_ID,Step,Stimulus,Response,ResponseTime,Duration,CorrectAnswer,Type
39,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.0031469999812543,[,fNTc
39,ITI,ITI,,,0.6023757083457895,,
39,Fixation,+,,,2.5023509166785516,,
40,Fixation,+,,,0.5044974166667089,,
40,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3t.bmp,,,0.5038580417167395,[,fNTi
40,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3t.bmp,,,1.003185499983374,[,fNTi
40,ITI,ITI,,,0.7019991666893475,,
40,Fixation,+,,,2.502836916653905,,
41,Fixation,+,,,0.5050322500173934,,
41,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5t.bmp,,,0.5059951666626148,[,fNTi
41,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5t.bmp,,,1.0031897082808428,[,fNTi
41,ITI,ITI,,,0.627252625010442,,
41,Fixation,+,,,2.502226791693829,,
42,Fixation,+,,,0.5033911250066012,,
42,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5037260000244714,[,mNTc
42,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0032334999996237,[,mNTc
42,ITI,ITI,,,0.352070500026457,,
42,Fixation,+,,,2.5023882083478384,,
43,Fixation,+,,,0.5046642916859128,,
43,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5037559167249128,[,fNTc
43,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0033969999640249,[,fNTc
43,ITI,ITI,,,0.5274777499726042,,
43,Fixation,+,,,2.5027676665922627,,
44,Fixation,+,,,0.5040839166613296,,
44,Display Faces,enlarged_images/A/f4t.bmp / enlarged_images/A/f4n.bmp,,,0.5039711666177027,[,fNTi
44,Display Faces,enlarged_images/A/f4t.bmp / enlarged_images/A/f4n.bmp,,,1.0030797916115262,[,fNTi
44,ITI,ITI,,,0.6270588333136402,,
44,Fixation,+,,,2.5024397916859016,,
45,Fixation,+,,,0.5044263750314713,,
45,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,0.5036425417056307,[,mNN
45,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,1.0031396666890942,[,mNN
45,ITI,ITI,,,0.6273725416976959,,
45,Fixation,+,,,2.502306791720912,,
46,Fixation,+,,,0.5046079166349955,,
46,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4n.bmp,,,0.5041443749796599,[,mNN
46,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4n.bmp,,,1.0033660833141766,[,mNN
46,ITI,ITI,,,0.5270965000381693,,
46,Fixation,+,,,2.502805708325468,,
47,Fixation,+,,,0.5043739583343267,,
47,Display Faces,enlarged_images/A/m3t.bmp / enlarged_images/A/m3n.bmp,,,0.5036119584110565,[,mNTi
47,Display Faces,enlarged_images/A/m3t.bmp / enlarged_images/A/m3n.bmp,,,1.0029645000468008,[,mNTi
47,ITI,ITI,,,0.42737500002840534,,
47,Fixation,+,,,2.5023848332930356,,
48,Fixation,+,,,0.5032626666361466,,
48,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4t.bmp,,,0.5038677499978803,[,mNTi
48,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4t.bmp,,,1.0031210416927934,[,mNTi
48,ITI,ITI,,,0.5519433750305325,,
48,Fixation,+,,,2.5028753333026543,,
49,Fixation,+,,,0.5046887500211596,,
49,Display Faces,enlarged_images/A/f2t.bmp / enlarged_images/A/f2n.bmp,,,0.5037420416483656,[,fNTi
49,Display Faces,enlarged_images/A/f2t.bmp / enlarged_images/A/f2n.bmp,,,1.0037868749932386,[,fNTi
49,ITI,ITI,,,0.6774352083448321,,
49,Fixation,+,,,2.502292000048328,,
50,Fixation,+,,,0.5038943333202042,,
50,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5038434999878518,[,fNN
50,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0029786249506287,[,fNN
50,ITI,ITI,,,0.37705716665368527,,
50,Fixation,+,,,2.5027352499892004,,
51,Fixation,+,,,0.5060731249977835,,
51,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,0.5115292083355598,[,mNN
51,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,1.0039697916945443,[,mNN
51,ITI,ITI,,,0.7522205416462384,,
51,Fixation,+,,,2.5025674166390672,,
52,Fixation,+,,,0.5033945000031963,,
52,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5037520834011957,[,mNTc
52,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.0029728750232607,[,mNTc
52,ITI,ITI,,,0.752651083341334,,
52,Fixation,+,,,2.5029356249724515,,
53,Fixation,+,,,0.5040045416099019,,
53,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5039204583736137,[,fNN
53,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0031604582909495,[,fNN
53,ITI,ITI,,,0.602117833273951,,
53,Fixation,+,,,2.5023505417048,,
54,Fixation,+,,,0.5044794583227485,,
54,Display Faces,enlarged_images/A/m2t.bmp / enlarged_images/A/m2n.bmp,,,0.5035039166687056,[,mNTi
54,Display Faces,enlarged_images/A/m2t.bmp / enlarged_images/A/m2n.bmp,,,1.0031572082662024,[,mNTi
54,ITI,ITI,,,0.7522099583293311,,
54,Fixation,+,,,2.502380333316978,,
55,Fixation,+,,,0.5044081666856073,,
55,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,0.5038332500262186,[,mNN
55,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5n.bmp,,,1.0030254166340455,[,mNN
55,ITI,ITI,,,0.577392624982167,,
55,Fixation,+,,,2.5029905416304246,,
56,Fixation,+,,,0.5043884582701139,,
56,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1t.bmp,,,0.5037882084143348,[,fNTi
56,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1t.bmp,,,1.0034015416749753,[,fNTi
56,ITI,ITI,,,0.3521091666771099,,
56,Fixation,+,,,2.5026152500067838,,
57,Fixation,+,,,0.503295500006061,,
57,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5043235417106189,[,mNTc
57,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0031017916626297,[,mNTc
57,ITI,ITI,,,0.3021137083414942,,
57,Fixation,+,,,2.5023985833395272,,
58,Fixation,+,,,0.5036777916830033,,
58,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,0.5034923750208691,[,fNTc
58,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,1.0030077916453592,[,fNTc
58,ITI,ITI,,,0.6521942500257865,,
58,Fixation,+,,,2.502395916671958,,
59,Fixation,+,,,0.503788625006564,,
59,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,0.5039712500292808,[,mNN
59,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1n.bmp,,,1.0033946667099372,[,mNN
59,ITI,ITI,,,0.602163124945946,,
59,Fixation,+,,,2.5025104584055953,,
60,Fixation,+,,,0.5037940833717585,,
60,Display Faces,enlarged_images/A/f5t.bmp / enlarged_images/A/f5n.bmp,,,0.5038065416156314,[,fNTi
60,Display Faces,enlarged_images/A/f5t.bmp / enlarged_images/A/f5n.bmp,,,1.003040041658096,[,fNTi
60,ITI,ITI,,,0.4022325000260025,,
60,Fixation,+,,,2.502277666644659,,
61,Fixation,+,,,0.5044650833588094,,
61,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5038877084152773,[,fNN
61,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.0032053333707154,[,fNN
61,ITI,ITI,,,0.6019883750122972,,
61,Fixation,+,,,2.5028638332732953,,
62,Fixation,+,,,0.5043354166555218,,
62,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2t.bmp,,,0.5039202916668728,[,mNTi
62,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2t.bmp,,,1.003084750031121,[,mNTi
62,ITI,ITI,,,0.2521855417289771,,
62,Fixation,+,,,2.502244791656267,,
63,Fixation,+,,,0.5044772083056159,,
63,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,0.5037543333601207,[,fNTc
63,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2n.bmp,,,1.003158874984365,[,fNTc
63,ITI,ITI,,,0.7024345833924599,,
63,Fixation,+,,,2.502273874997627,,
64,Fixation,+,,,0.5036402083351277,,
64,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5t.bmp,,,0.5035163333523087,[,fNTi
64,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5t.bmp,,,1.0037797916447744,[,fNTi
64,ITI,ITI,,,0.25200595828937367,,
64,Fixation,+,,,2.5021976666757837,,
65,Fixation,+,,,0.5046527083031833,,
65,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.5043390416540205,[,fNN
65,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.003260916681029,[,fNN
65,ITI,ITI,,,0.6521109166205861,,
65,Fixation,+,,,2.502631083363667,,
66,Fixation,+,,,0.5035264999605715,,
66,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4n.bmp,,,0.5034496249863878,[,mNN
66,Display Faces,enlarged_images/A/m4n.bmp / enlarged_images/A/m4n.bmp,,,1.00340308342129,[,mNN
66,ITI,ITI,,,0.4521599999861792,,
66,Fixation,+,,,2.502349333371967,,
67,Fixation,+,,,0.504719250020571,,
67,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,0.5039049999904819,[,mNN
67,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2n.bmp,,,1.003072416584473,[,mNN
67,ITI,ITI,,,0.4521026666043326,,
67,Fixation,+,,,2.502737166651059,,
68,Fixation,+,,,0.5046559582697228,,
68,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2t.bmp,,,0.5035031249863096,[,mNTi
68,Display Faces,enlarged_images/A/m2n.bmp / enlarged_images/A/m2t.bmp,,,1.0038369999965653,[,mNTi
68,ITI,ITI,,,0.6526434166589752,,
68,Fixation,+,,,2.502312249969691,,
69,Fixation,+,,,0.5044769583037123,,
69,Display Faces,enlarged_images/A/f2t.bmp / enlarged_images/A/f2n.bmp,,,0.503993708291091,[,fNTi
69,Display Faces,enlarged_images/A/f2t.bmp / enlarged_images/A/f2n.bmp,,,1.0031539999763481,[,fNTi
69,ITI,ITI,,,0.27688262501033023,,
69,Fixation,+,,,2.503017708309926,,
70,Fixation,+,,,0.5035767499939539,,
70,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,0.5040059166494757,[,fNN
70,Display Faces,enlarged_images/A/f4n.bmp / enlarged_images/A/f4n.bmp,,,1.0029620000277646,[,fNN
70,ITI,ITI,,,0.4523121666861698,,
70,Fixation,+,,,2.5023251666571014,,
71,Fixation,+,,,0.5046853750245646,,
71,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1t.bmp,,,0.503845791623462,[,fNTi
71,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1t.bmp,,,1.0029950416646898,[,fNTi
71,ITI,ITI,,,0.7025516249705106,,
71,Fixation,+,,,2.502741416625213,,
72,Fixation,+,,,0.503938875044696,,
72,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,0.503396000014618,[,mNTc
72,Display Faces,enlarged_images/A/f5n.bmp / enlarged_images/A/f5n.bmp,,,1.0036326666595414,[,mNTc
72,ITI,ITI,,,0.5522237083641812,,
72,Fixation,+,,,2.502295000012964,,
73,Fixation,+,,,0.5045183332986198,,
73,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3t.bmp,,,0.5041069166036323,[,fNTi
73,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3t.bmp,,,1.0030459583504125,[,fNTi
73,ITI,ITI,,,0.3270591666805558,,
73,Fixation,+,,,2.5025104583473876,,
74,Fixation,+,,,0.5040285416180268,,
74,Display Faces,enlarged_images/A/m4t.bmp / enlarged_images/A/m4n.bmp,,,0.5037146250251681,[,mNTi
74,Display Faces,enlarged_images/A/m4t.bmp / enlarged_images/A/m4n.bmp,,,1.003031583270058,[,mNTi
74,ITI,ITI,,,0.3272714166669175,,
74,Fixation,+,,,2.5026018749922514,,
75,Fixation,+,,,0.5042975416290574,,
75,Display Faces,enlarged_images/A/f2n.bmp / enlarged_images/A/f2t.bmp,,,0.5037977499887347,[,fNTi
